"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree"
"ENSG00000169750.9","ENSG00000169750",87,14,101
"ENSG00000129244.9","ENSG00000129244",6,1,7
"ENSG00000271849.1","ENSG00000271849",0,1,1
"ENSG00000163029.16","ENSG00000163029",11,2,13
"ENSG00000172167.8","ENSG00000172167",1,21,22
"ENSG00000164056.11","ENSG00000164056",0,0,0
"ENSG00000251141.6","ENSG00000251141",4,44,48
"ENSG00000184113.9","ENSG00000184113",15,0,15
"ENSG00000112511.18","ENSG00000112511",2,0,2
"ENSG00000170153.11","ENSG00000170153",14,92,106
"ENSG00000171747.9","ENSG00000171747",15,13,28
"ENSG00000243244.7","ENSG00000243244",4,29,33
"ENSG00000233117.4","ENSG00000233117",3,22,25
"ENSG00000058804.12","ENSG00000058804",8,12,20
"ENSG00000145147.20","ENSG00000145147",1,15,16
"ENSG00000114853.14","ENSG00000114853",2,34,36
"ENSG00000126351.13","ENSG00000126351",7,11,18
"ENSG00000198121.13","ENSG00000198121",0,3,3
"ENSG00000154678.18","ENSG00000154678",18,91,109
"ENSG00000130988.13","ENSG00000130988",6,77,83
"ENSG00000146757.14","ENSG00000146757",38,3,41
"ENSG00000153814.13","ENSG00000153814",10,111,121
"ENSG00000104332.12","ENSG00000104332",0,2,2
"ENSG00000101115.13","ENSG00000101115",28,30,58
"ENSG00000277075.2","ENSG00000277075",3,0,3
"ENSG00000131435.13","ENSG00000131435",2,0,2
"ENSG00000062822.15","ENSG00000062822",13,8,21
"ENSG00000198932.13","ENSG00000198932",16,92,108
"ENSG00000163513.19","ENSG00000163513",0,6,6
"ENSG00000095794.19","ENSG00000095794",15,0,15
"ENSG00000169744.13","ENSG00000169744",1,0,1
"ENSG00000095002.15","ENSG00000095002",9,5,14
"ENSG00000131171.13","ENSG00000131171",2,25,27
"ENSG00000159147.18","ENSG00000159147",9,1,10
"ENSG00000128482.16","ENSG00000128482",1,1,2
"ENSG00000168427.9","ENSG00000168427",4,136,140
"ENSG00000144395.18","ENSG00000144395",1,1,2
"ENSG00000068024.17","ENSG00000068024",18,196,214
"ENSG00000163681.16","ENSG00000163681",8,180,188
"ENSG00000155660.11","ENSG00000155660",37,26,63
"ENSG00000253636.1","ENSG00000253636",6,87,93
"ENSG00000148516.22","ENSG00000148516",5,123,128
"ENSG00000125868.16","ENSG00000125868",11,119,130
"ENSG00000125871.14","ENSG00000125871",41,16,57
"ENSG00000271936.1","ENSG00000271936",8,13,21
"ENSG00000162733.19","ENSG00000162733",4,54,58
"ENSG00000138135.7","ENSG00000138135",1,9,10
"ENSG00000162881.6","ENSG00000162881",0,0,0
"ENSG00000021574.13","ENSG00000021574",22,3,25
"ENSG00000149534.9","ENSG00000149534",0,6,6
"ENSG00000115392.12","ENSG00000115392",13,1,14
"ENSG00000185532.20","ENSG00000185532",6,107,113
"ENSG00000119640.9","ENSG00000119640",8,6,14
"ENSG00000197253.13","ENSG00000197253",0,5,5
"ENSG00000163106.11","ENSG00000163106",0,13,13
"ENSG00000105974.13","ENSG00000105974",5,116,121
"ENSG00000130695.16","ENSG00000130695",8,4,12
"ENSG00000213088.12","ENSG00000213088",5,1,6
"ENSG00000113448.19","ENSG00000113448",0,24,24
"ENSG00000150672.17","ENSG00000150672",2,0,2
"ENSG00000175931.13","ENSG00000175931",7,2,9
"ENSG00000134198.10","ENSG00000134198",17,137,154
"ENSG00000020577.14","ENSG00000020577",2,100,102
"ENSG00000157570.12","ENSG00000157570",15,166,181
"ENSG00000284946.1","ENSG00000284946",0,0,0
"ENSG00000144668.12","ENSG00000144668",8,46,54
"ENSG00000143248.13","ENSG00000143248",1,1,2
"ENSG00000129596.5","ENSG00000129596",0,3,3
"ENSG00000065600.13","ENSG00000065600",189,5,194
"ENSG00000154553.16","ENSG00000154553",3,109,112
"ENSG00000112276.14","ENSG00000112276",24,139,163
"ENSG00000136518.17","ENSG00000136518",2,3,5
"ENSG00000183801.8","ENSG00000183801",0,4,4
"ENSG00000007237.19","ENSG00000007237",1,29,30
"ENSG00000168309.18","ENSG00000168309",0,1,1
"ENSG00000267383.7","ENSG00000267383",2,3,5
"ENSG00000029993.15","ENSG00000029993",70,12,82
"ENSG00000108883.13","ENSG00000108883",37,19,56
"ENSG00000164035.10","ENSG00000164035",2,1,3
"ENSG00000232855.7","ENSG00000232855",5,154,159
"ENSG00000145861.9","ENSG00000145861",2,0,2
"ENSG00000149243.16","ENSG00000149243",17,8,25
"ENSG00000120738.8","ENSG00000120738",0,0,0
"ENSG00000087274.17","ENSG00000087274",0,1,1
"ENSG00000026559.14","ENSG00000026559",0,8,8
"ENSG00000259291.2","ENSG00000259291",11,114,125
"ENSG00000122641.11","ENSG00000122641",0,7,7
"ENSG00000150051.14","ENSG00000150051",6,140,146
"ENSG00000151067.22","ENSG00000151067",14,93,107
"ENSG00000163531.15","ENSG00000163531",28,35,63
"ENSG00000188649.15","ENSG00000188649",1,1,2
"ENSG00000158445.10","ENSG00000158445",18,103,121
"ENSG00000086300.16","ENSG00000086300",1,4,5
"ENSG00000187741.15","ENSG00000187741",14,7,21
"ENSG00000169418.10","ENSG00000169418",0,18,18
"ENSG00000179921.15","ENSG00000179921",0,5,5
